resultsDriverName,grandPrixName,p2_5,p97_5
Pierre Gasly,Azerbaijan Grand Prix,,
Pierre Gasly,Belgian Grand Prix,,
Pierre Gasly,Dutch Grand Prix,,
Pierre Gasly,Hungarian Grand Prix,,
Pierre Gasly,Italian Grand Prix,,
Pierre Gasly,Las Vegas Grand Prix,,
Pierre Gasly,Mexican Grand Prix,,
Pierre Gasly,Singapore Grand Prix,,
Pierre Gasly,São Paulo Grand Prix,,
Pierre Gasly,United States Grand Prix,,
Yuki Tsunoda,Australian Grand Prix,,
Yuki Tsunoda,Azerbaijan Grand Prix,,
Yuki Tsunoda,Belgian Grand Prix,,
Yuki Tsunoda,Dutch Grand Prix,,
Yuki Tsunoda,Hungarian Grand Prix,,
Yuki Tsunoda,Italian Grand Prix,,
Yuki Tsunoda,Mexican Grand Prix,,
Yuki Tsunoda,Singapore Grand Prix,,
Yuki Tsunoda,São Paulo Grand Prix,,
Yuki Tsunoda,United States Grand Prix,,
